covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-8.090655522669277e-09,0.9999999919093445,1.0178852964217868e-08,-2.8040840736465073e-08,1.1859529691126517e-08,0.9999999719591596,1.0000000118595298,0.0,-0.7948494345198506,0.4267010910332023,1.2287022955126734
gender,0.2907520682609809,1.3374329507632334,0.062039478272693814,0.1691569252268458,0.412347211295116,1.1843059718259366,1.5103587589188883,0.0,4.686565334785433,2.778281545718386e-06,18.45737576265065
anchor_age,0.35533147266400006,1.426653472541135,0.014629057270940092,0.3266590472851837,0.3840038980428164,1.3863287240495579,1.4681511645869358,0.0,24.289430691466954,2.5353201327553695e-130,430.50848440872875
disch_age,-0.36016269807794443,0.6975628247072292,0.014616454223212621,-0.38881042193711957,-0.3315149742187693,0.677862765743629,0.7178354071118294,0.0,-24.64090760849265,4.606180571022658e-134,442.9347937462828
CKD_stage_first,-0.9386849680367052,0.3911418613540014,0.0421827716775626,-1.0213616812928041,-0.8560082547806063,0.36010425894030995,0.4248546133658266,0.0,-22.252804420056645,1.0595604161362973e-109,362.0066964901939
eGFR_first,-0.028335167068468156,0.9720625088544105,0.013922969407613438,-0.055623685665243464,-0.0010466484716928452,0.9458950227797743,0.9989538990737729,0.0,-2.035138212181502,0.041836968021028924,4.579077888369711
eGFR_last,0.03507608374129598,1.035698505619169,0.014139082217205593,0.007363991821122282,0.06278817566146967,1.0073911726878226,1.0648012645175189,0.0,2.4807892904542648,0.013109184032898336,6.253278300426106
eGFR_min,8.858644887589902e-05,1.0000885903727712,0.013641649388603447,-0.026648555042509705,0.026825727940261505,0.9737033845431847,1.0271887768604524,0.0,0.006493822436889942,0.9948187157525954,0.007494445324636576
eGFR_max,-0.000499530509542562,0.9995005942350503,0.01387050424459453,-0.027685219276357788,0.026686158257272663,0.9726945040955416,1.0270454224526937,0.0,-0.036013868042124995,0.9712713010294226,0.04205376115848896
eGFR_mean,-0.019886690362730455,0.9803097455555391,0.013829503553888093,-0.0469920192524198,0.007218638526958889,0.954095011951445,1.0072447557037147,0.0,-1.437990184191349,0.15043683925521545,2.7327701947414242
eGFR_median,-0.026373783129718602,0.9739709676451237,0.013863412507999483,-0.05354557234821969,0.0007980060887824887,0.9478627436884892,1.0007983245803551,0.0,-1.9024019601595472,0.05711862496822351,4.12989494036924
"Albumin/Creatinine,_Urine_first",9.94508701051042e-05,1.0000994558155067,0.00011492661190207811,-0.00012580115008818123,0.0003247028902983896,0.9998742067625446,1.0003247556119879,0.0,0.86534239945958,0.38685088574235105,1.3701505178087974
"Albumin/Creatinine,_Urine_last",0.00012069488331230338,1.0001207021672327,0.00011691833295127573,-0.0001084608384046597,0.00034985060502926645,0.9998915450432594,1.0003499118098893,0.0,1.03230075443003,0.301931247777416,1.7277080214387683
"Albumin/Creatinine,_Urine_min",-0.00013868180532283298,0.9998613278105543,0.00016547580067567515,-0.000463008414960085,0.00018564480431441905,0.999537098756895,1.0001856620373777,0.0,-0.8380790711183375,0.40198629631744365,1.3147817740101362
"Albumin/Creatinine,_Urine_max",-4.827106968317643e-05,0.9999517300953462,0.0001315294336443239,-0.00030606402253300215,0.00020952188316664927,0.9996939828102819,1.0002095438344096,0.0,-0.3669982326063148,0.7136203363404554,0.48677136595274895
"Albumin/Creatinine,_Urine_mean",0.00014438924214496543,1.0001443996667734,0.0003450059851181388,-0.0005318100631373485,0.0008205885474272793,0.9994683313227697,1.000820925322321,0.0,0.41851228202757956,0.67557260859536,0.5658172603015759
"Albumin/Creatinine,_Urine_median",-8.916099082299237e-05,0.9999108429839,0.00021486885697572766,-0.0005102962118947066,0.0003319742302487218,0.999489833967073,1.0003320293397917,0.0,-0.414955392223566,0.6781745586338397,0.5602714314636419
Bicarbonate_first,0.011521420417131157,1.0115880476154695,0.00893855571813703,-0.00599782686422198,0.029040667698484294,0.9940201241922841,1.0294664596554257,0.0,1.288957722079563,0.19741278500418422,2.340712669100899
Bicarbonate_last,0.019212183564809034,1.0193979251571517,0.008502826131143252,0.0025469505809622116,0.03587741654865585,1.0025501968150072,1.0365287774278458,0.0,2.2595056359485794,0.02385195012570295,5.389748964564277
Bicarbonate_min,-0.014493619260703219,0.9856109076385682,0.018145271334902447,-0.05005769756681905,0.021070459045412607,0.9511745424607291,1.0212940085034177,0.0,-0.7987546172883471,0.42443271024678164,1.2363922485019958
Bicarbonate_max,0.026656107400983724,1.0270145593220352,0.015332620908487212,-0.0033952773682570173,0.056707492170224465,0.9966104800680724,1.0583461905672416,0.0,1.738522563107819,0.0821187779152176,3.6061440322353477
Bicarbonate_mean,-0.053917972570142685,0.9475098251099442,0.057427680664082055,-0.16647415838741075,0.05863821324712539,0.8466446953169692,1.060391535724163,0.0,-0.9388847320080871,0.34778992897894145,1.5237119380407385
Bicarbonate_median,-0.038409292566906846,0.9623189902664585,0.043929995920601685,-0.12451050241227765,0.047691917278463954,0.8829289884334458,1.0488474737595066,0.0,-0.874329527285346,0.38193882361584686,1.3885865192808273
Albumin_first,0.04134233000214277,1.042208823833206,0.07847869316030077,-0.11247308214581661,0.19515774215010215,0.893621401155344,1.2155027073786175,0.0,0.5267968710653326,0.5983346559884921,0.7409754675041454
Albumin_last,-0.07563767802919653,0.9271520732761865,0.0731263553265901,-0.21896270078999186,0.0676873447315988,0.8033516819779061,1.0700307054363924,0.0,-1.034342238053443,0.300976197399618,1.7322786984385146
